trial_id,units_input,num_layers,l2_input,learning_rate,val_loss,val_mae,units_layer_0,units_layer_1
039,32,1,0.060000000000000005,0.001,0.17215833067893982,0.18625952303409576,16,
099,64,1,0.04,0.001,0.17830659449100494,0.16859381645917892,64,
012,64,1,0.06999999999999999,0.001,0.18946122378110886,0.1703781560063362,48,
037,16,1,0.01,0.001,0.1923007220029831,0.17803117632865906,48,
041,16,1,0.03,0.001,0.1941632479429245,0.18168194591999054,48,
025,32,1,0.09,0.001,0.19435717165470123,0.172834150493145,48,
020,48,1,0.09999999999999999,0.001,0.19708240032196045,0.19174768775701523,16,
084,48,1,0.03,0.001,0.20200026780366898,0.16485890001058578,16,
093,48,1,0.09,0.001,0.20234773308038712,0.19739452749490738,64,
045,64,1,0.06999999999999999,0.001,0.20608017593622208,0.16124143451452255,32,
069,64,1,0.060000000000000005,0.001,0.20876173675060272,0.18597808480262756,64,
024,48,1,0.08,0.001,0.21310565620660782,0.17137973755598068,64,
091,48,2,0.01,0.001,0.21482150256633759,0.15523364394903183,16,32.0
013,16,1,0.09,0.0001,0.21747419983148575,0.1775905042886734,48,
052,48,1,0.09,0.001,0.21923021227121353,0.1859642043709755,32,
019,48,2,0.09999999999999999,0.001,0.21965886652469635,0.17275799065828323,32,32.0
048,48,1,0.02,0.001,0.22114146500825882,0.15192168951034546,64,
043,16,1,0.060000000000000005,0.0001,0.22838272154331207,0.18207181990146637,64,
051,48,1,0.01,0.0001,0.2330915704369545,0.1489022821187973,64,
096,64,2,0.05,0.001,0.23463265597820282,0.15901998430490494,16,48.0
